BioWare Version 5.3.2.9 Export
Device:	Kistler Grande1 9286BA	Kistler Grande1 9286BA
Samples (#):	70000	70000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	69999	69999
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	69.999001	69.999001
First sample time (s):	0.000000	0.000000
Normalized force (N):	1.000000	1.000000
Normalized length (m):	1.000000	1.000000
File Information
Date	Jan 25, 2018  11:14:02
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
0.661000	-0.018814	0.042116
0.662000	-0.018826	0.042141
0.663000	-0.018809	0.042128
0.664000	-0.018808	0.042132
0.665000	-0.018757	0.042092
0.666000	-0.018778	0.042082
0.667000	-0.018780	0.042110
0.668000	-0.018769	0.042104
0.669000	-0.018769	0.042108
0.670000	-0.018762	0.042074
0.671000	-0.018736	0.042088
0.672000	-0.018730	0.042057
0.673000	-0.018707	0.042059
0.674000	-0.018690	0.042026
0.675000	-0.018686	0.042054
0.676000	-0.018698	0.042082
0.677000	-0.018688	0.042055
0.678000	-0.018691	0.042064
0.679000	-0.018658	0.042021
0.680000	-0.018650	0.042026
0.681000	-0.018652	0.042039
0.682000	-0.018625	0.042015
0.683000	-0.018623	0.042005
0.684000	-0.018617	0.042016
0.685000	-0.018613	0.041987
0.686000	-0.018610	0.041996
0.687000	-0.018601	0.042037
0.688000	-0.018574	0.041994
0.689000	-0.018565	0.041991
0.690000	-0.018549	0.041966
0.691000	-0.018545	0.041981
0.692000	-0.018533	0.041977
0.693000	-0.018515	0.041970
0.694000	-0.018498	0.041969
0.695000	-0.018486	0.041921
0.696000	-0.018470	0.041933
0.697000	-0.018473	0.041925
0.698000	-0.018467	0.041886
0.699000	-0.018438	0.041889
0.700000	-0.018434	0.041916
0.701000	-0.018446	0.041910
0.702000	-0.018422	0.041885
0.703000	-0.018418	0.041891
0.704000	-0.018400	0.041860
0.705000	-0.018364	0.041860
0.706000	-0.018387	0.041822
0.707000	-0.018372	0.041848
0.708000	-0.018372	0.041853
0.709000	-0.018365	0.041861
0.710000	-0.018369	0.041811
0.711000	-0.018358	0.041818
0.712000	-0.018359	0.041834
0.713000	-0.018352	0.041808
0.714000	-0.018351	0.041810
0.715000	-0.018333	0.041794
0.716000	-0.018330	0.041813
0.717000	-0.018314	0.041817
0.718000	-0.018315	0.041822
0.719000	-0.018310	0.041781
0.720000	-0.018305	0.041785
0.721000	-0.018277	0.041762
0.722000	-0.018278	0.041779
0.723000	-0.018268	0.041737
0.724000	-0.018271	0.041750
0.725000	-0.018243	0.041720
0.726000	-0.018250	0.041719
0.727000	-0.018240	0.041716
0.728000	-0.018213	0.041685
0.729000	-0.018231	0.041680
0.730000	-0.018231	0.041667
0.731000	-0.018237	0.041634
0.732000	-0.018223	0.041675
0.733000	-0.018230	0.041661
0.734000	-0.018225	0.041662
0.735000	-0.018214	0.041625
0.736000	-0.018199	0.041631
0.737000	-0.018218	0.041631
0.738000	-0.018216	0.041611
0.739000	-0.018202	0.041581
0.740000	-0.018202	0.041606
0.741000	-0.018219	0.041612
0.742000	-0.018215	0.041607
0.743000	-0.018217	0.041613
0.744000	-0.018211	0.041586
0.745000	-0.018207	0.041570
0.746000	-0.018202	0.041583
0.747000	-0.018210	0.041586
0.748000	-0.018197	0.041572
0.749000	-0.018206	0.041578
0.750000	-0.018195	0.041558
0.751000	-0.018187	0.041550
0.752000	-0.018181	0.041561
0.753000	-0.018165	0.041524
0.754000	-0.018174	0.041498
